index,title,topic_idx
0,인천→핀란드 항공기 결항…명절 여행객 분노,4
1,"실리콘밸리 넘어...구글, 15조원 들여 미국 글로벌 허브로 도약",4
2,이란 외무부 긴장완화 해법은 미국이 경제전쟁을 멈추는 것입니다,4
3,"NYT 클린턴 한국 기업 최측근, 특수관계 부각…공적·사적 결합",4
4,시진핑은 가능한 한 빨리 중미 무역 협상을 타결하기,4
5,팔레스타인 가자지구에서 이스라엘 총격으로 사망한 16세 소년,4
6,"인도, 48년 만에 파키스탄 공습…테러캠프 폭격 종합보고서 2",4
7,미국 대선 TV토론 트럼프 만회 실패…사과 대신 빌 클린턴 공격. 역풍,4
8,"푸틴, 김정은 위원장과 한반도 정세 진전 방안 논의",4
9,"특검, 트럼프 스캔들 보도 언론 맹공…국민의 적",4
10,오키나와의 강제 징용자 추도식,4
11,이란에서 최고지도자 모욕죄로 징역 10년 선고받은 미국인,4
12,카니발 축제 보러 가자 브라질 리우에서 열린 대형 유람선 퍼레이드,4
13,"올랜도 병원, 최악의 총기 테러 부상 치료비 청구 안 함",4
14,"일본 대기업, 올해 임금 평균 2.46% 인상",4
15,WMO 엘니뇨 여전히 강... 2분기에 사라질 것,4
16,이스라엘의 네타냐후 유대교도 병역 문제로 연정 협상에 직면해 있습니다,4
17,"아랍에미리트 사우디아라비아, 미국 호르무즈 방위군 연합 가입",4
18,예멘 반군과 연계된 오만 유조선 사우디아라비아 공격…이란 겨냥,4
19,개천에서 나와 모교에 장학금 1000억원 기부,4
20,EU 브렉시트 합의 전에 해야 할 일 많아…영국에 경고,4
21,"스파크 경영, 일본 탈출 디플레이션…새로운 도약 준비",4
22,"트럼프, 총기규제 초당적 협력 촉구 文 ""총기규제 초당적 협력""",4
23,NBA 카지노 업체와 스폰서 계약...미국 프로스포츠 사상 최초,4
24,"오바마, 퇴임 후 워싱턴 D.C.에 사무실 개소 예정",4
25,"미국 전문가 트럼프 행정부, 북한과 정상급 관계 맺으려 할 것",4
26,"이스라엘 네타냐후, 이란에 경고... 우리 전투기 접근 가능 지역",4
27,"이스라엘, 네타냐후 총선 한 달 앞두고 우크라이나 방문",4
28,트럼프 탄핵 보고서 전화 기록 중 문제의 1위,4
29,,4
30,셰이크 살만 AFC 회장 평양 방문…최휘 국민체육지도위원장…,4
31,신중국 70년…중국의 기적…최빈국 G2 경제력의 부상,4
32,"UAE, 교량 중단 20개월 만에 화물선 카타르 왕복 허용",4
33,송환법에 반대하는 홍콩 회의를 위한 행진이 울려 퍼집니다,4
34,말레이시아 총리 비자금 스캔들 확산…정치적 긴장 고조,4
35,이스라엘서 미군 복무 대학생 흉기에 찔려 숨진 채 발견,4
36,반이스라엘 운동 지원 단체에 대한 지원 중단을 위한 하원 결의안,4
37,"미군 정찰기, 또 한반도 출격…북한 로켓포 발사 후 감시 강화",4
38,암스테르담 옴부즈먼은 적신호 지역에 대한 입국 금지 연령을 설정하고 시행해야 합니다,4
39,"G20, 홍콩 문제 알리자…홍콩 시민 릴레이 시위 예고",4
40,미국의 태평양 진출 견제…일본 오키나와 미사일 훈련 계획,4
41,튀르키예 주재 러시아 대사 총격 사건…병원 이송,4
42,59%의 유럽인들은 테러의 가능성을 증가시키고 있다는 것을 인식하고 있습니다,4
43,우리나라 위상 보여주는 김영남…뜨거운 분위기 이어지길,6
44,이란의 최고 지도자가 정부에 대한 미국의 항의를 조작합니다,4
45,볼턴 출신 미국인 IS 신부 귀국 거부 재확인...시민권 증명해야,4
46,무장괴한들 부르키나파소 금광 공격…약 20명 사망,4
47,올랜도 총격으로 최소 50명 사망…미국 역사상 최악의 총기 참사,4
48,"이낙연 국무총리, 적극행정 추진전략 및 성과공유대회 참석",6
49,"박 대통령, 한일협정서 소녀상 언급 안해…선동하면 안 돼",6
50,민주당 국회의원 재보궐선거 후보자 4명 공모에 7명 신청,6
51,프랑스의 마크롱은 이집트의 안정적인 인권 문제와 분리될 수 없습니다,4
52,박찬호와 현진이가 10승을 해서 기억에 남는데...,5
53,현행 헌법과 다른 점은 Δ지방자치와 경제민주화의 개념을 강화한다는 점입니다,6
54,고전기 MVP 서재덕 덕큐리 활짝 웃다,5
55,"트럼프 유조선, 작은 것들 공격…이란과의 충돌 우려 속에 수준 조절",6
56,이희호 여사 청지기 24일 만료…당분간 경호,6
57,"통일농구 오늘, 남북 친선경기…김정은 관전 가능성",6
58,"임도헌 감독, 신영석과 힘을 합쳐 한일전 승리",5
59,,4
60,홍콩 폭력시위 신고 포상금 최대 1억5000만원,4
61,이는 6자회담 틀을 완전히 무시한 것은 아닙니다,6
62,대북 확성기 방송 전면 재개…국경 긴장의 차이 포괄적,6
63,"다얀, 김치우 아웃 조영욱…서울의 과감한 재건축…",5
64,다당제보다 효율적인 일당제…중국 공산당은 망하지 않았습니다,4
65,"문 대통령, 북미협정 이행 국제사회와 협력…새 시대를 위해 헌신",6
66,호날두 노쇼 유벤투스 무책임하고 오만한 비판 받아들이기 어려워,5
67,피로를 풀기 위해 산책하는 태극전사들과 닭갈비,5
68,"북한 미사일 발사 정부, 개성공단 체류 인원 500명으로 줄였습니다",6
69,"박 대통령, 총선 5일 첫 평가…평년보다 6분 단축 발언",6
70,"이도훈, 유엔대표부 수석대표 면담 위해 출국",6
71,안철수·천정배 박지원 면담…입당 무리하지 말 것,6
72,"영국 존슨, 브렉시트 완료, 청정에너지 혁명 추진",4
73,"문 대통령, 아세안-APEC 일정 마치고 오늘 저녁 귀국",6
74,북한 2040개국에 12만명 파견…하루 16시간 강제노동,6
75,촛불민심에 따른 국정운영…문 대통령 촛불 2주년,6
76,"독재가 시작되었습니까... 네이마르 PSG 회장, 카바니 이적 요구",5
77,아시안게임 만리장성전 농구 단일팀 이문규 감독…,5
78,"스웨덴-러시아 외교 갈등...스웨덴, 러시아 망명 비자 거부에 대응",4
79,"한승혁, 6⅓이닝 1실점 호투…KIA NC 완패",5
80,처음에는 이란군이 트럼프 무인기를 파괴할 것이라고 확신한다는 거짓말을 믿습니다,4
81,"박지수, WNBA 코네티컷전서 2득점 3리바운드 기록",5
82,메이저리그 닷컴과 더 애슬레틱 류현진이 텍사스의 다음 행선지가 될 것 같습니다,5
83,"자유한국당 가짜뉴스 규제, 개인매체 통제…입법 상반기",6
84,우상호·박지원 회동…당이 마련하면 할 수 있는 건 다 주겠다,6
85,"미 해군총장, 한일 레이더 갈등 이견 해소 노력 촉구",4
86,NBA 로즈가 가장 많은 50점을 득점하며 감격의 눈물을 흘렸습니다,5
87,울산 한마음축구대회 개최…여성·노인 등 40개 팀 참가,5
88,지역구 후보 342명 재산 10억원 이상…1위 김병관 2637억원,6
89,"박 대통령, 이번 주 안보·경제 위기 억제",6
90,"튀르키예, 독일과 러시아에서 테러를 주도한 IS 고위 지도자 체포",4
91,"화웨이, 한국 기업 3곳과 5G 생태계 관련 MOU 체결",4
92,구자철 발목 부상으로 전력 상실…Aux Emergency,5
93,"정지석, 양효진 등 프로배구 FA선수 37명 발표…대어 대열 예고",5
